CountryID,Country,Occurrence 1990-1999,Occurrence 2000-2009,Occurrence 2010-2019,Total deaths 1990-1999,Total deaths 2000-2009,Total deaths 2010-2019,Persons affected 1990-1999,Persons affected 2000-2009,Persons affected 2010-2019,Continent
4,Afghanistan,3,3,2,0,37,0,48000,4760000,12350000,Asia
8,Albania,1,1,,0,0,,3200000,75,,Europe
12,Algeria,2,1,,22,8,,0,0,,Africa
24,Angola,4,2,2,0,58,0,2585000,25000,3253900,Africa
660,Anguilla,1,,,0,,,0,,,North America
28,Antigua and Barbuda,1,,,0,,,75000,,,North America
32,Argentina,3,4,1,24,8,0,152752,0,0,South America
51,Armenia,,1,,,0,,,297000,,Asia
36,Australia,27,12,13,890,202,41,7150201,17809,12628,Oceania
40,Austria,,,,,,,,,,Europe
31,Azerbaijan,,1,,,0,,,0,,Asia
50,Bangladesh,6,1,,1900018,0,,25002000,0,,Asia
52,Barbados,,,1,,,0,,,0,North America
112,Belarus,,,,,,,,,,Europe
56,Belgium,1,,,0,,,0,,,Europe
204,Benin,4,,1,2,,1,2222200,,2759,Africa
64,Bhutan,1,,,0,,,0,,,Asia
68,Bolivia,7,5,6,3,0,0,3422509,105500,1119335,South America
70,Bosnia and Herzegovina,,2,,,0,,,62575,,Europe
72,Botswana,5,,2,0,,0,1344900,,38000,Africa
76,Brazil,13,5,4,21,0,0,45762000,2000000,31062000,South America
96,Brunei,1,,,0,,,0,,,Asia
100,Bulgaria,1,5,,0,10,,0,176,,Europe
854,Burkina Faso,10,1,2,0,0,0,5563290,0,6850000,Africa
108,Burundi,1,4,1,6,120,0,650000,2412500,0,Africa
132,Cabo Verde,9,1,,85000,0,,10000,30000,,Africa
116,Cambodia,2,3,1,0,0,0,5000000,1550000,2500000,Asia
120,Cameroon,2,2,1,0,0,0,586900,0,12000,Africa
124,Canada,19,5,5,117,1,1,118800,1800,154477,North America
140,Central African Republic,2,1,,0,1,,85,750,,Africa
148,Chad,7,2,2,3000,0,0,3056000,3200000,3486800,Africa
152,Chile,6,2,7,10,0,32,121300,285,20149,South America
156,China,20,17,9,3503643,134,52,208806313,241524300,79726003,Asia
170,Colombia,2,1,2,0,0,31,100000,0,200,South America
174,Comoros,1,,,0,,,0,,,Africa
188,Costa Rica,5,,2,0,,0,1200,,0,North America
384,Côte d’Ivoire,1,,,0,,,0,,,Africa
191,Croatia,1,5,1,0,13,0,0,26,80,Europe
192,Cuba,6,2,1,0,0,0,820000,0,100000,North America
