CountryID,Country,Occurrence,Total deaths,Persons affected,Continent,Type of disaster,Decade
4,Afghanistan,3,0,48000,Asia,Climatological,1990-1999
8,Albania,1,0,3200000,Europe,Climatological,1990-1999
12,Algeria,2,22,0,Africa,Climatological,1990-1999
24,Angola,4,0,2585000,Africa,Climatological,1990-1999
660,Anguilla,1,0,0,North America,Climatological,1990-1999
28,Antigua and Barbuda,1,0,75000,North America,Climatological,1990-1999
32,Argentina,3,24,152752,South America,Climatological,1990-1999
51,Armenia,,,,Asia,Climatological,1990-1999
36,Australia,27,890,7150201,Oceania,Climatological,1990-1999
40,Austria,,,,Europe,Climatological,1990-1999
31,Azerbaijan,,,,Asia,Climatological,1990-1999
50,Bangladesh,6,1900018,25002000,Asia,Climatological,1990-1999
52,Barbados,,,,North America,Climatological,1990-1999
112,Belarus,,,,Europe,Climatological,1990-1999
56,Belgium,1,0,0,Europe,Climatological,1990-1999
204,Benin,4,2,2222200,Africa,Climatological,1990-1999
64,Bhutan,1,0,0,Asia,Climatological,1990-1999
68,Bolivia,7,3,3422509,South America,Climatological,1990-1999
70,Bosnia and Herzegovina,,,,Europe,Climatological,1990-1999
72,Botswana,5,0,1344900,Africa,Climatological,1990-1999
76,Brazil,13,21,45762000,South America,Climatological,1990-1999
96,Brunei,1,0,0,Asia,Climatological,1990-1999
100,Bulgaria,1,0,0,Europe,Climatological,1990-1999
854,Burkina Faso,10,0,5563290,Africa,Climatological,1990-1999
108,Burundi,1,6,650000,Africa,Climatological,1990-1999
132,Cabo Verde,9,85000,10000,Africa,Climatological,1990-1999
116,Cambodia,2,0,5000000,Asia,Climatological,1990-1999
120,Cameroon,2,0,586900,Africa,Climatological,1990-1999
124,Canada,19,117,118800,North America,Climatological,1990-1999
140,Central African Republic,2,0,85,Africa,Climatological,1990-1999
148,Chad,7,3000,3056000,Africa,Climatological,1990-1999
152,Chile,6,10,121300,South America,Climatological,1990-1999
156,China,20,3503643,208806313,Asia,Climatological,1990-1999
170,Colombia,2,0,100000,South America,Climatological,1990-1999
174,Comoros,1,0,0,Africa,Climatological,1990-1999
188,Costa Rica,5,0,1200,North America,Climatological,1990-1999
384,Côte d’Ivoire,1,0,0,Africa,Climatological,1990-1999
191,Croatia,1,0,0,Europe,Climatological,1990-1999
192,Cuba,6,0,820000,North America,Climatological,1990-1999
196,Cyprus,1,0,0,Asia,Climatological,1990-1999
203,Czech Republic,,,,Europe,Climatological,1990-1999
180,Democratic Republic of the Congo,2,0,800000,Africa,Climatological,1990-1999
208,Denmark,1,0,0,Europe,Climatological,1990-1999
262,Djibouti,4,0,355000,Africa,Climatological,1990-1999
214,Dominican Republic,3,0,240000,North America,Climatological,1990-1999
218,Ecuador,4,0,634800,South America,Climatological,1990-1999
818,Egypt,,,,Africa,Climatological,1990-1999
222,El Salvador,3,0,0,North America,Climatological,1990-1999
232,Eritrea,2,0,3900000,Africa,Climatological,1990-1999
748,Eswatini,3,500,250000,Africa,Climatological,1990-1999
231,Ethiopia,9,402367,33336200,Africa,Climatological,1990-1999
242,Fiji,2,0,294455,Oceania,Climatological,1990-1999
246,Finland,,,,Europe,Climatological,1990-1999
250,France,13,105,3413,Europe,Climatological,1990-1999
254,French Guiana,,,,South America,Climatological,1990-1999
266,Gabon,,,,Africa,Climatological,1990-1999
270,Gambia,7,0,835000,Africa,Climatological,1990-1999
268,Georgia,,,,Asia,Climatological,1990-1999
276,Germany,,,,Europe,Climatological,1990-1999
288,Ghana,4,4,12513500,Africa,Climatological,1990-1999
300,Greece,8,29,2514,Europe,Climatological,1990-1999
308,Grenada,,,,North America,Climatological,1990-1999
320,Guatemala,3,0,73000,North America,Climatological,1990-1999
324,Guinea,2,12,0,Africa,Climatological,1990-1999
624,Guinea-Bissau,5,3,1500,Africa,Climatological,1990-1999
328,Guyana,2,0,607200,South America,Climatological,1990-1999
332,Haiti,6,0,2270217,North America,Climatological,1990-1999
340,Honduras,4,0,400000,North America,Climatological,1990-1999
344,Hong Kong,39,0,9003,Asia,Climatological,1990-1999
348,Hungary,2,0,0,Europe,Climatological,1990-1999
352,Iceland,,,,Europe,Climatological,1990-1999
356,India,13,4250306,711841000,Asia,Climatological,1990-1999
360,Indonesia,13,9629,7823298,Asia,Climatological,1990-1999
364,Iran,2,0,37625000,Asia,Climatological,1990-1999
368,Iraq,2,0,500000,Asia,Climatological,1990-1999
372,Ireland,,,,Europe,Climatological,1990-1999
376,Israel,3,0,240,Asia,Climatological,1990-1999
380,Italy,6,8,320,Europe,Climatological,1990-1999
388,Jamaica,2,0,100000,North America,Climatological,1990-1999
392,Japan,1,0,0,Asia,Climatological,1990-1999
400,Jordan,1,0,180000,Asia,Climatological,1990-1999
398,Kazakhstan,1,0,8000,Asia,Climatological,1990-1999
404,Kenya,8,85,29550000,Africa,Climatological,1990-1999
296,Kiribati,1,0,84000,Oceania,Climatological,1990-1999
417,Kyrgyzstan,,,,Asia,Climatological,1990-1999
418,Laos,5,0,4250000,Asia,Climatological,1990-1999
428,Latvia,,,,Europe,Climatological,1990-1999
422,Lebanon,,,,Asia,Climatological,1990-1999
426,Lesotho,3,0,1035500,Africa,Climatological,1990-1999
430,Liberia,1,0,0,Africa,Climatological,1990-1999
440,Lithuania,1,0,0,Europe,Climatological,1990-1999
450,Madagascar,2,200,1950000,Africa,Climatological,1990-1999
454,Malawi,3,0,11229267,Africa,Climatological,1990-1999
458,Malaysia,4,0,8000,Asia,Climatological,1990-1999
466,Mali,6,0,1802000,Africa,Climatological,1990-1999
584,Marshall Islands,,,,Oceania,Climatological,1990-1999
478,Mauritania,9,0,4860907,Africa,Climatological,1990-1999
480,Mauritius,1,0,0,Africa,Climatological,1990-1999
484,Mexico,8,110,65000,North America,Climatological,1990-1999
583,Micronesia,1,0,28800,Oceania,Climatological,1990-1999
498,Moldova,,,,Europe,Climatological,1990-1999
496,Mongolia,3,25,5061,Asia,Climatological,1990-1999
499,Montenegro,,,,Europe,Climatological,1990-1999
504,Morocco,5,0,412000,Africa,Climatological,1990-1999
508,Mozambique,5,100050,14058000,Africa,Climatological,1990-1999
104,Myanmar,2,8,78588,Asia,Climatological,1990-1999
516,Namibia,4,0,438200,Africa,Climatological,1990-1999
524,Nepal,6,88,4454000,Asia,Climatological,1990-1999
554,New Zealand,2,0,130,Oceania,Climatological,1990-1999
558,Nicaragua,4,0,365000,North America,Climatological,1990-1999
562,Niger,9,85000,6170500,Africa,Climatological,1990-1999
566,Nigeria,1,0,3000000,Africa,Climatological,1990-1999
408,North Korea,,,,Asia,Climatological,1990-1999
807,North Macedonia,1,0,10000,Europe,Climatological,1990-1999
578,Norway,,,,Europe,Climatological,1990-1999
512,Oman,,,,Asia,Climatological,1990-1999
586,Pakistan,1,143,2200000,Asia,Climatological,1990-1999
591,Panama,1,0,81000,North America,Climatological,1990-1999
598,Papua New Guinea,3,60,548000,Oceania,Climatological,1990-1999
600,Paraguay,3,12,53400,South America,Climatological,1990-1999
604,Peru,6,0,3585604,South America,Climatological,1990-1999
608,Philippines,7,10,6553507,Asia,Climatological,1990-1999
616,Poland,2,35,0,Europe,Climatological,1990-1999
620,Portugal,7,54,50,Europe,Climatological,1990-1999
630,Puerto Rico,1,0,0,North America,Climatological,1990-1999
178,Republic of the Congo,1,0,0,Africa,Climatological,1990-1999
642,Romania,1,0,0,Europe,Climatological,1990-1999
643,Russia,9,67,101283,Europe,Climatological,1990-1999
646,Rwanda,5,237,3156545,Africa,Climatological,1990-1999
662,Saint Lucia,,,,North America,Climatological,1990-1999
670,Saint Vincent and the Grenadines,,,,North America,Climatological,1990-1999
882,Samoa,1,0,1000,Oceania,Climatological,1990-1999
678,Sao Tome and Principe,1,0,93000,Africa,Climatological,1990-1999
682,Saudi Arabia,,,,Asia,Climatological,1990-1999
686,Senegal,7,0,7265000,Africa,Climatological,1990-1999
694,Sierra Leone,,,,Africa,Climatological,1990-1999
703,Slovakia,,,,Europe,Climatological,1990-1999
705,Slovenia,,,,Europe,Climatological,1990-1999
90,Solomon Islands,2,0,380,Oceania,Climatological,1990-1999
706,Somalia,7,19650,1483500,Africa,Climatological,1990-1999
710,South Africa,10,34,2478005,Africa,Climatological,1990-1999
410,South Korea,1,0,2800000,Asia,Climatological,1990-1999
728,South Sudan,,,,Africa,Climatological,1990-1999
724,Spain,11,37,6017420,Europe,Climatological,1990-1999
144,Sri Lanka,7,0,5256000,Asia,Climatological,1990-1999
729,Sudan,7,150047,21210000,Africa,Climatological,1990-1999
740,Suriname,,,,South America,Climatological,1990-1999
752,Sweden,,,,Europe,Climatological,1990-1999
756,Switzerland,,,,Europe,Climatological,1990-1999
760,Syria,1,0,329000,Asia,Climatological,1990-1999
762,Tajikistan,,,,Asia,Climatological,1990-1999
834,Tanzania,7,0,5883483,Africa,Climatological,1990-1999
764,Thailand,3,0,8500000,Asia,Climatological,1990-1999
626,Timor-Leste,,,,Asia,Climatological,1990-1999
768,Togo,3,0,550000,Africa,Climatological,1990-1999
776,Tonga,,,,Oceania,Climatological,1990-1999
780,Trinidad and Tobago,,,,North America,Climatological,1990-1999
788,Tunisia,2,0,31400,Africa,Climatological,1990-1999
792,Turkey,2,13,500,Europe,Climatological,1990-1999
798,Tuvalu,,,,Oceania,Climatological,1990-1999
800,Uganda,5,115,1951000,Africa,Climatological,1990-1999
826,UK,,,,Europe,Climatological,1990-1999
804,Ukraine,,,,Europe,Climatological,1990-1999
784,United Arab Emirates,,,,Asia,Climatological,1990-1999
858,Uruguay,1,0,0,South America,Climatological,1990-1999
840,USA,29,1180,46142,North America,Climatological,1990-1999
860,Uzbekistan,,,,Asia,Climatological,1990-1999
862,Venezuela,,,,South America,Climatological,1990-1999
704,Vietnam,3,0,4400000,Asia,Climatological,1990-1999
887,Yemen,,,,Asia,Climatological,1990-1999
894,Zambia,4,0,2973204,Africa,Climatological,1990-1999
716,Zimbabwe,3,0,5055000,Africa,Climatological,1990-1999
4,Afghanistan,10,7426,352293,Asia,Geophysical,1990-1999
8,Albania,1,0,2100,Europe,Geophysical,1990-1999
12,Algeria,3,193,30214,Africa,Geophysical,1990-1999
16,American Samoa,,,,Oceania,Geophysical,1990-1999
32,Argentina,1,0,63200,South America,Geophysical,1990-1999
51,Armenia,1,0,15000,Asia,Geophysical,1990-1999
36,Australia,1,0,5025,Oceania,Geophysical,1990-1999
40,Austria,1,0,0,Europe,Geophysical,1990-1999
31,Azerbaijan,2,2,709178,Asia,Geophysical,1990-1999
50,Bangladesh,2,29,15400,Asia,Geophysical,1990-1999
52,Barbados,,,,North America,Geophysical,1990-1999
112,Belarus,,,,Europe,Geophysical,1990-1999
56,Belgium,1,0,0,Europe,Geophysical,1990-1999
64,Bhutan,,,,Asia,Geophysical,1990-1999
68,Bolivia,2,100,18050,South America,Geophysical,1990-1999
76,Brazil,,,,South America,Geophysical,1990-1999
100,Bulgaria,1,1,0,Europe,Geophysical,1990-1999
108,Burundi,,,,Africa,Geophysical,1990-1999
132,Cabo Verde,1,0,6306,Africa,Geophysical,1990-1999
120,Cameroon,1,0,3010,Africa,Geophysical,1990-1999
152,Chile,4,17,118481,South America,Geophysical,1990-1999
156,China,34,762,11851924,Asia,Geophysical,1990-1999
170,Colombia,10,1612,1269540,South America,Geophysical,1990-1999
174,Comoros,1,0,200,Africa,Geophysical,1990-1999
188,Costa Rica,8,51,25868,North America,Geophysical,1990-1999
191,Croatia,1,0,2000,Europe,Geophysical,1990-1999
192,Cuba,1,0,5869,North America,Geophysical,1990-1999
196,Cyprus,1,2,1865,Asia,Geophysical,1990-1999
203,Czech Republic,,,,Europe,Geophysical,1990-1999
180,Democratic Republic of the Congo,1,9,311,Africa,Geophysical,1990-1999
212,Dominica,,,,North America,Geophysical,1990-1999
214,Dominican Republic,,,,North America,Geophysical,1990-1999
218,Ecuador,6,37,64345,South America,Geophysical,1990-1999
818,Egypt,3,596,93018,Africa,Geophysical,1990-1999
222,El Salvador,,,,North America,Geophysical,1990-1999
231,Ethiopia,1,13,0,Africa,Geophysical,1990-1999
242,Fiji,2,0,0,Oceania,Geophysical,1990-1999
246,Finland,,,,Europe,Geophysical,1990-1999
250,France,,,,Europe,Geophysical,1990-1999
254,French Guiana,,,,South America,Geophysical,1990-1999
266,Gabon,,,,Africa,Geophysical,1990-1999
268,Georgia,2,9,3750,Asia,Geophysical,1990-1999
276,Germany,1,1,1525,Europe,Geophysical,1990-1999
300,Greece,8,197,147781,Europe,Geophysical,1990-1999
312,Guadeloupe,,,,North America,Geophysical,1990-1999
316,Guam,1,0,71,Oceania,Geophysical,1990-1999
320,Guatemala,6,39,30513,North America,Geophysical,1990-1999
332,Haiti,,,,North America,Geophysical,1990-1999
340,Honduras,,,,North America,Geophysical,1990-1999
348,Hungary,,,,Europe,Geophysical,1990-1999
352,Iceland,1,0,0,Europe,Geophysical,1990-1999
356,India,5,11391,719302,Asia,Geophysical,1990-1999
360,Indonesia,30,3454,579442,Asia,Geophysical,1990-1999
364,Iran,20,42875,999174,Asia,Geophysical,1990-1999
368,Iraq,1,20,500,Asia,Geophysical,1990-1999
372,Ireland,,,,Europe,Geophysical,1990-1999
380,Italy,5,35,48721,Europe,Geophysical,1990-1999
392,Japan,10,5589,617831,Asia,Geophysical,1990-1999
398,Kazakhstan,,,,Asia,Geophysical,1990-1999
404,Kenya,1,0,0,Africa,Geophysical,1990-1999
417,Kyrgyzstan,3,58,138036,Asia,Geophysical,1990-1999
454,Malawi,,,,Africa,Geophysical,1990-1999
458,Malaysia,1,72,0,Asia,Geophysical,1990-1999
462,Maldives,,,,Asia,Geophysical,1990-1999
474,Martinique,,,,North America,Geophysical,1990-1999
484,Mexico,14,131,299158,North America,Geophysical,1990-1999
500,Montserrat,3,32,13000,North America,Geophysical,1990-1999
504,Morocco,,,,Africa,Geophysical,1990-1999
508,Mozambique,,,,Africa,Geophysical,1990-1999
104,Myanmar,2,0,160,Asia,Geophysical,1990-1999
524,Nepal,1,0,285,Asia,Geophysical,1990-1999
528,Netherlands,1,0,20,Europe,Geophysical,1990-1999
554,New Zealand,1,0,70,Oceania,Geophysical,1990-1999
558,Nicaragua,7,180,324187,North America,Geophysical,1990-1999
807,North Macedonia,,,,Europe,Geophysical,1990-1999
580,Northern Mariana Islands,,,,Oceania,Geophysical,1990-1999
578,Norway,,,,Europe,Geophysical,1990-1999
512,Oman,,,,Asia,Geophysical,1990-1999
586,Pakistan,8,413,217901,Asia,Geophysical,1990-1999
591,Panama,2,30,20096,North America,Geophysical,1990-1999
598,Papua New Guinea,7,2244,183898,Oceania,Geophysical,1990-1999
604,Peru,9,292,237082,South America,Geophysical,1990-1999
608,Philippines,13,3223,3114298,Asia,Geophysical,1990-1999
642,Romania,3,9,6550,Europe,Geophysical,1990-1999
643,Russia,4,2001,14352,Europe,Geophysical,1990-1999
646,Rwanda,,,,Africa,Geophysical,1990-1999
662,Saint Lucia,,,,North America,Geophysical,1990-1999
882,Samoa,,,,Oceania,Geophysical,1990-1999
682,Saudi Arabia,,,,Asia,Geophysical,1990-1999
688,Serbia,,,,Europe,Geophysical,1990-1999
690,Seychelles,,,,Africa,Geophysical,1990-1999
705,Slovenia,1,0,700,Europe,Geophysical,1990-1999
90,Solomon Islands,,,,Oceania,Geophysical,1990-1999
706,Somalia,,,,Africa,Geophysical,1990-1999
710,South Africa,2,25,52,Africa,Geophysical,1990-1999
410,South Korea,,,,Asia,Geophysical,1990-1999
724,Spain,1,0,20,Europe,Geophysical,1990-1999
144,Sri Lanka,,,,Asia,Geophysical,1990-1999
729,Sudan,2,3,8015,Africa,Geophysical,1990-1999
740,Suriname,,,,South America,Geophysical,1990-1999
756,Switzerland,,,,Europe,Geophysical,1990-1999
762,Tajikistan,1,12,0,Asia,Geophysical,1990-1999
834,Tanzania,,,,Africa,Geophysical,1990-1999
764,Thailand,1,0,0,Asia,Geophysical,1990-1999
626,Timor-Leste,,,,Asia,Geophysical,1990-1999
776,Tonga,,,,Oceania,Geophysical,1990-1999
780,Trinidad and Tobago,2,0,217,North America,Geophysical,1990-1999
792,Turkey,13,19137,3712263,Europe,Geophysical,1990-1999
795,Turkmenistan,,,,Asia,Geophysical,1990-1999
